,Team,OffensivePassingYards,DefensivePassingYards,OffensiveRushingYards,DefensiveRushingYards,OffensiveTouchdowns,TouchdownsScoredAgainst,Interceptions,Picks,Year,wins
0,CLE,3253,3732,1601,2104,29,36,19,19,2010,5
1,DET,4026,3842,1623,2045,42,45,16,16,2010,6
2,NE,3768,3997,1877,1654,54,39,5,26,2010,14
0,CLE,3317,3195,1554,2382,24,32,16,10,2011,4
1,DET,5387,4453,1578,2112,58,47,16,21,2011,10
2,NE,5188,5021,1778,1888,59,45,13,26,2011,13
0,CLE,3343,3818,1576,1811,31,42,19,16,2012,5
1,DET,4842,3712,1564,1859,46,41,22,13,2012,4
2,NE,4504,4245,1978,1569,55,40,11,17,2012,12
0,CLE,4378,3735,1396,1799,34,47,20,14,2013,4
1,DET,4506,4161,1752,1454,51,38,19,14,2013,7
2,NE,4395,4156,2092,2153,49,40,11,19,2013,12
0,CLE,3725,3906,1713,2284,31,38,18,21,2014,7
1,DET,4307,4068,1440,1126,35,33,12,22,2014,11
2,NE,4347,4139,1761,1706,50,37,9,18,2014,12
0,CLE,4191,4235,1547,2069,29,50,13,12,2015,3
1,DET,4483,4147,1360,1797,41,50,17,10,2015,7
2,NE,4849,4214,1423,1600,55,35,9,13,2015,12
0,CLE,3747,4194,1721,2296,30,56,14,10,2016,1
1,DET,4378,4146,1324,1748,35,44,12,11,2016,9
2,NE,4450,4021,1894,1411,52,27,2,14,2016,14
0,CLE,3578,3884,1720,1607,32,44,29,8,2017,0
1,DET,4511,4111,1255,1876,46,48,13,21,2017,9
2,NE,4597,4345,1919,1861,53,34,11,12,2017,13
