,index,TeamName,PointsPerGame_x,Score_x,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession_x,TurnoverDifferential,curYear,nextYear,PointsPerGame_y,RushingYards_x,RushingYardsPerAttempt_x,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked_x,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage,PointsPerGame_x,Score_y,PassingCompletions_x,PassingAttempts,CompletionPercentage,PassingYards_x,PassingYardsPerAttempt_x,PassingYardsPerCompletion,PassingTouchdowns_x,PassingInterceptions,FirstDownsByPassing_x,TimesSacked_y,TimesSackedYards,PasserRating,PointsPerGame_y,Score_x,RushingAttempts,RushingYards_y,RushingYardsPerAttempt_y,RushingTouchdowns,FirstDownsByRushing,TimeOfPossession_y,PointsPerGame,Score_y,PassingCompletions_y,PassingYards_y,PassingYardsPerAttempt_y,PassingTouchdowns_y,FirstDownsByPassing_y,OpponentPointsPerGame_x,OpponentScore_x,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession_x,OpponentTurnoverDifferential,OpponentPointsPerGame_y,OpponentRushingYards_x,OpponentRushingYardsPerAttempt_x,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked_x,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage,OpponentPointsPerGame_x,OpponentScore_y,OpponentPassingCompletions_x,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards_x,OpponentPassingYardsPerAttempt_x,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns_x,OpponentPassingInterceptions,OpponentFirstDownsByPassing_x,OpponentTimesSacked_y,OpponentTimesSackedYards,OpponentPasserRating,OpponentPointsPerGame_y,OpponentScore_x,OpponentRushingAttempts,OpponentRushingYards_y,OpponentRushingYardsPerAttempt_y,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession_y,OpponentPointsPerGame,OpponentScore_y,OpponentPassingCompletions_y,OpponentPassingYards_y,OpponentPassingYardsPerAttempt_y,OpponentPassingTouchdowns_y,OpponentFirstDownsByPassing_y
0,0,Chargers,27.6,441,1039,6329,6.1,357,92,205,44.9,33,59,55.9,84,677,33:03,-6,2010,2011,27.6,1810,4.0,70,15.3,38,6.5,72,12.4,27.6,441,359,544,66.0,4519,8.3,12.6,30,13,236,38,undefined,100,27.6,441,457,1810,4.0,18,94,33:03,27.6,441,359,4519,8.3,30,236,20.1,322,939,4344,4.6,247,70,208,33.7,27,43,62.8,97,769,27:57,6,20.1,1500,3.7,83,20.5,47,8.8,62,11.6,20.1,322,285,488,58.4,2844,5.8,10.0,18,16,153,47,290,74,20.1,322,404,1500,3.7,14,77,27:57,20.1,322,285,2844,5.8,18,153
1,1,Eagles,27.4,439,1038,6230,6.0,322,85,214,39.7,31,58,53.4,129,1101,31:15,9,2010,2011,27.4,2327,5.4,77,18.0,50,8.2,92,15.1,27.4,439,348,561,62.0,3903,7.0,11.2,28,13,189,50,undefined,90,27.4,439,427,2327,5.4,18,116,31:15,27.4,439,348,3903,7.0,28,189,23.6,377,999,5235,5.2,308,80,209,38.3,33,43,76.7,87,724,29:45,-9,23.6,1766,4.2,94,22.2,39,6.8,64,11.1,23.6,377,309,537,57.5,3469,6.5,11.2,31,23,185,39,292,78,23.6,377,423,1766,4.2,12,91,29:45,23.6,377,309,3469,6.5,31,185
2,2,Texans,24.4,390,1029,6185,6.0,360,79,192,41.1,33,53,62.3,90,690,30:33,0,2010,2011,24.4,2042,4.8,73,17.3,32,5.3,73,12.0,24.4,390,365,574,63.6,4143,7.2,11.4,24,12,222,32,undefined,90,24.4,390,423,2042,4.8,20,118,30:33,24.4,390,365,4143,7.2,24,222,26.7,427,1010,6031,6.0,352,77,195,39.5,40,59,67.8,105,851,31:22,0,26.7,1751,4.0,71,16.4,30,5.2,91,15.8,26.7,427,354,547,64.7,4280,7.8,12.1,33,13,211,30,219,99,26.7,427,433,1751,4.0,16,113,31:22,26.7,427,354,4280,7.8,33,211
3,3,Colts,27.2,435,1089,6092,5.6,365,91,204,44.6,38,56,67.9,79,709,30:55,-4,2010,2011,27.2,1483,3.8,55,14.0,16,2.3,47,6.8,27.2,435,450,680,66.2,4609,6.8,10.2,33,17,253,16,undefined,91,27.2,435,393,1483,3.8,13,87,30:55,27.2,435,450,4609,6.8,33,253,24.2,388,1010,5465,5.4,314,78,200,39.0,25,48,52.1,95,812,31:32,4,24.2,2032,4.6,63,14.2,30,5.3,64,11.3,24.2,388,356,535,66.5,3433,6.4,9.6,22,10,190,30,194,90,24.2,388,445,2032,4.6,14,111,31:32,24.2,388,356,3433,6.4,22,190
4,4,Giants,24.6,394,1035,6085,5.9,331,74,206,35.9,31,54,57.4,92,777,33:32,-3,2010,2011,24.6,2200,4.6,63,13.1,16,2.9,49,8.8,24.6,394,339,539,62.9,3885,7.2,11.5,31,25,192,16,undefined,84,24.6,394,480,2200,4.6,17,112,33:32,24.6,394,339,3885,7.2,31,192,21.7,347,974,4972,5.1,263,66,208,31.7,25,47,53.2,107,899,27:28,3,21.7,1623,4.2,81,20.9,47,8.0,101,17.2,21.7,347,308,539,57.1,3349,6.2,10.9,24,16,159,47,319,78,21.7,347,388,1623,4.2,11,88,27:28,21.7,347,308,3349,6.2,24,159
5,5,Saints,24.0,384,1067,5960,5.6,351,106,217,48.8,31,61,50.8,90,884,32:05,-6,2010,2011,24.0,1519,4.0,63,16.6,26,3.8,63,9.2,24.0,384,450,661,68.1,4441,6.7,9.9,33,22,236,26,undefined,90,24.0,384,380,1519,4.0,9,94,32:05,24.0,384,450,4441,6.7,33,236,19.2,307,948,4900,5.2,273,70,203,34.5,20,45,44.4,88,701,29:44,6,19.2,1797,4.3,76,18.1,33,6.3,67,12.7,19.2,307,306,494,61.9,3103,6.3,10.1,13,9,150,33,250,81,19.2,307,421,1797,4.3,14,94,29:44,19.2,307,306,3103,6.3,13,150
6,6,Cowboys,24.6,394,1035,5828,5.6,327,86,211,40.8,28,47,59.6,109,863,31:25,0,2010,2011,24.6,1789,4.2,65,15.2,32,5.3,76,12.5,24.6,394,379,576,65.8,4039,7.0,10.7,29,19,201,32,undefined,89,24.6,394,427,1789,4.2,10,104,31:25,24.6,394,379,4039,7.0,29,201,27.2,436,977,5628,5.8,309,81,204,39.7,35,53,66.0,79,641,29:02,0,27.2,1737,4.3,63,15.7,36,6.2,68,11.8,27.2,436,348,540,64.4,3891,7.2,11.2,33,20,200,36,260,91,27.2,436,401,1737,4.3,11,84,29:02,27.2,436,348,3891,7.2,33,200
7,7,Patriots,32.4,518,986,5820,5.9,335,95,197,48.2,42,67,62.7,83,766,29:24,28,2010,2011,32.4,1973,4.3,52,11.5,25,4.7,49,9.2,32.4,518,331,507,65.3,3847,7.6,11.6,37,5,196,25,undefined,108,32.4,518,454,1973,4.3,19,119,29:24,32.4,518,331,3847,7.6,37,196,19.6,313,1056,5864,5.6,348,99,210,47.1,27,50,54.0,84,687,31:25,-28,19.6,1728,4.2,60,14.6,35,5.4,65,10.1,19.6,313,388,611,63.5,4136,6.8,10.7,25,25,226,35,212,80,19.6,313,410,1728,4.2,10,99,31:25,19.6,313,388,4136,6.8,25,226
8,8,Packers,24.2,388,1000,5730,5.7,312,85,205,41.5,32,53,60.4,78,617,32:01,10,2010,2011,24.2,1606,3.8,67,15.9,38,6.6,72,12.4,24.2,388,352,541,65.1,4124,7.6,11.7,31,13,204,38,undefined,97,24.2,388,421,1606,3.8,11,88,32:01,24.2,388,352,4124,7.6,31,204,15.0,240,969,4945,5.1,270,77,213,36.2,15,31,48.4,98,758,29:47,-10,15.0,1838,4.7,75,19.0,47,8.2,88,15.3,15.0,240,296,527,56.2,3107,5.9,10.5,16,24,163,47,333,65,15.0,240,395,1838,4.7,6,82,29:47,15.0,240,296,3107,5.9,16,163
9,9,Raiders,25.6,410,1039,5674,5.5,306,75,220,34.1,25,48,52.1,148,1279,32:58,-2,2010,2011,25.6,2494,4.9,70,13.9,44,8.2,67,12.5,25.6,410,279,491,56.8,3180,6.5,11.4,18,16,159,44,undefined,75,25.6,410,504,2494,4.9,19,113,32:58,25.6,410,279,3180,6.5,18,159,23.2,371,991,5163,5.2,292,76,218,34.9,26,49,53.1,117,1161,29:58,2,23.2,2138,4.5,87,18.4,47,9.1,90,17.4,23.2,371,249,470,53.0,3025,6.4,12.1,29,12,150,47,291,83,23.2,371,474,2138,4.5,14,98,29:58,23.2,371,249,3025,6.4,29,150
