TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Jets,14.8,236,953,4037,4.2,237,69,219,31.5,14,33,42.4,87,680,29:39,-1
Packers,18.6,297,948,4551,4.8,272,76,211,36,28,46,60.9,107,914,27:57,-24
Ravens,16.3,261,991,4808,4.9,280,80,218,36.7,18,43,41.9,88,741,31:58,-10
Bengals,18.2,291,980,4822,4.9,276,81,210,38.6,19,40,47.5,99,767,28:27,0
Steelers,20.2,324,967,4885,5.1,274,96,227,42.3,19,42,45.2,102,903,28:21,3
Vikings,19.5,312,940,4888,5.2,271,69,200,34.5,18,40,45,109,902,28:30,-6
Broncos,20.2,324,1007,5040,5,290,81,218,37.2,24,48,50,78,726,30:06,-7
Panthers,19.2,308,976,5053,5.2,290,70,197,35.5,25,50,50,82,632,30:47,-6
Cowboys,15.6,250,979,5054,5.2,286,70,200,35,18,32,56.2,93,768,28:08,-2
Redskins,21,336,1000,5115,5.1,280,87,219,39.7,16,41,39,98,763,31:24,11
Patriots,17.8,285,941,5123,5.4,289,72,194,37.1,22,40,55,91,780,27:13,-6
Eagles,21.1,337,1037,5137,5,295,73,221,33,29,51,56.9,104,789,32:46,-15
Texans,20.8,333,974,5198,5.3,300,79,201,39.3,24,37,64.9,92,728,28:06,1
Giants,26.7,427,953,5198,5.5,308,77,199,38.7,42,62,67.7,88,678,29:33,7
49ers,17.6,281,1050,5222,5,278,88,240,36.7,19,47,40.4,114,969,30:14,-9
Chargers,20,320,991,5232,5.3,309,82,203,40.4,29,55,52.7,103,795,30:02,-8
Bears,23.4,375,1033,5404,5.2,312,93,226,41.2,37,56,66.1,88,744,32:45,6
Colts,19.2,307,1084,5427,5,320,104,231,45,25,51,49,92,889,32:20,-2
Bills,20.4,326,1086,5449,5,310,97,240,40.4,27,50,54,107,919,33:34,-3
Cardinals,20.3,325,1038,5543,5.3,289,82,232,35.3,22,47,46.8,104,840,30:08,7
Falcons,20.3,325,997,5582,5.6,303,97,214,45.3,26,51,51,110,892,30:21,-3
Dolphins,24.4,390,968,5589,5.8,297,69,198,34.8,24,51,47.1,73,589,28:13,8
Jaguars,23.8,380,982,5637,5.7,307,94,209,45,29,52,55.8,64,498,30:06,-2
Seahawks,24.4,390,1024,5703,5.6,305,87,223,39,31,55,56.4,111,971,32:29,8
Saints,21.3,341,1044,5724,5.5,310,82,216,38,22,56,39.3,86,717,29:14,-11
Raiders,23.7,379,1023,5791,5.7,314,77,216,35.6,31,65,47.7,86,684,32:42,13
Buccaneers,25,400,1039,5849,5.6,324,86,214,40.2,25,50,50,80,731,32:42,5
Titans,25.1,402,1038,5850,5.6,323,89,218,40.8,33,56,58.9,94,724,32:49,4
Rams,27.2,436,1016,5965,5.9,333,91,209,43.5,36,59,61,80,613,31:16,13
Chiefs,26.5,424,1062,6211,5.8,318,85,223,38.1,30,53,56.6,106,821,33:49,-1
Browns,23.4,375,1072,6229,5.8,336,86,221,38.9,25,57,43.9,101,812,32:02,12
Lions,30.9,494,1029,6274,6.1,332,85,210,40.5,37,71,52.1,113,944,31:03,18
