TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Bills,23.2,1908,4.9,62,15.8,22,3.7,67,11.2
Titans,20.3,1438,3.8,65,17.3,24,3.9,52,8.6
Saints,34.2,2127,4.9,59,13.7,24,3.5,53,7.7
Bengals,21.5,1778,3.9,58,12.7,25,4.5,55,9.8
Raiders,22.4,2110,4.5,62,13.3,25,4.6,62,11.3
Falcons,25.1,1834,4,73,16.1,26,4.2,78,12.6
Giants,24.6,1427,3.5,68,16.5,28,4.5,70,11.4
Chargers,25.4,1866,4.3,51,11.7,31,5.1,50,8.2
Patriots,32.1,1764,4,54,12.3,32,5,68,10.6
Buccaneers,17.9,1458,4.2,76,22,32,5.2,57,9.2
Texans,23.8,2448,4.5,75,13.7,33,6.6,62,12.4
Eagles,24.8,2277,5.1,85,19,33,5.6,67,11.4
Ravens,23.6,1996,4.3,60,13.1,33,5.7,71,12.3
Chiefs,13.2,1887,3.9,76,15.6,34,6.4,76,14.2
Colts,15.2,1594,4.2,56,14.7,35,6.2,75,13.2
Panthers,25.4,2411,5.4,64,14.4,36,6.5,66,11.9
Lions,29.6,1523,4.3,65,18.3,36,5.1,77,11
Cowboys,23.1,1807,4.4,83,20.3,39,6.4,78,12.8
Redskins,18,1614,4,72,17.9,39,6.2,101,16
Browns,13.6,1533,3.7,66,15.9,40,6.6,81,13.3
Jets,23.6,1692,3.8,60,13.5,40,6.8,71,12.1
Packers,35,1564,3.9,71,17.9,41,6.9,67,11.3
Steelers,20.3,1903,4.4,77,17.7,42,7.2,75,12.9
Broncos,19.3,2638,4.8,73,13.4,43,9.1,58,12.3
Jaguars,15.2,1970,4,91,18.6,44,8.6,72,14
49ers,23.8,2038,4.1,96,19.3,44,8.9,81,16.3
Seahawks,20.1,1755,3.9,86,19.3,48,8.6,111,19.9
Bears,22.1,2016,4.4,106,23.2,49,9.4,81,15.5
Vikings,21.2,2318,5.2,88,19.6,49,8.8,71,12.7
Dolphins,20.6,1981,4.2,88,18.8,52,10,89,17
Cardinals,19.5,1625,4.2,84,21.6,54,8.9,79,13.1
Rams,12.1,1674,4.1,96,23.4,55,9.1,108,17.9
