TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSacked,OpponentTimesSackedYards,OpponentPasserRating
Steelers,19.6,314,299,523,57.2,2963,5.7,9.9,19,10,169,37,196,77
Jets,23.4,375,266,494,53.8,3036,6.1,11.4,20,11,161,30,170,77
Broncos,18.1,289,321,559,57.4,3194,5.7,10,25,16,183,52,364,77
49ers,17.1,273,337,567,59.4,3203,5.6,9.5,19,14,178,38,270,76
Cardinals,22.3,357,270,497,54.3,3213,6.5,11.9,20,22,160,38,228,69
Seahawks,15.3,245,327,564,58,3250,5.8,9.9,15,18,186,36,247,70
Bengals,20,320,346,560,61.8,3400,6.1,9.8,16,14,183,51,361,78
Bears,17.3,277,350,592,59.1,3423,5.8,9.8,19,24,186,41,289,69
Eagles,27.8,444,292,485,60.2,3470,7.2,11.9,33,8,178,30,198,98
Bills,27.2,435,306,536,57.1,3473,6.5,11.3,25,12,182,36,196,83
Packers,21,336,313,568,55.1,3492,6.1,11.2,24,18,191,47,309,74
Chiefs,26.6,425,279,464,60.1,3533,7.6,12.7,29,7,176,27,161,98
Panthers,22.7,363,371,555,66.8,3568,6.4,9.6,22,11,195,39,284,90
Lions,27.3,437,346,544,63.6,3569,6.6,10.3,26,11,167,34,237,90
Rams,21.8,348,362,547,66.2,3602,6.6,10,16,17,197,52,325,81
Texans,20.7,331,308,581,53,3612,6.2,11.7,29,15,167,44,269,78
Ravens,21.5,344,335,557,60.1,3650,6.6,10.9,15,13,187,37,250,79
Chargers,21.9,350,347,568,61.1,3681,6.5,10.6,28,14,201,38,244,86
Cowboys,25,400,320,511,62.6,3684,7.2,11.5,22,7,195,34,211,93
Raiders,27.7,443,347,526,66,3775,7.2,10.9,28,11,180,25,185,96
Colts,24.2,387,334,535,62.4,3788,7.1,11.3,23,12,190,32,189,89
Jaguars,27.8,444,341,535,63.7,3832,7.2,11.2,21,12,194,20,128,89
Falcons,18.7,299,337,551,61.2,3878,7,11.5,14,20,189,29,182,76
Vikings,21.8,348,391,612,63.9,3908,6.4,10,28,10,229,44,284,90
Browns,23,368,378,600,63,3923,6.5,10.4,27,17,203,38,233,85
Titans,29.4,471,374,564,66.3,3964,7,10.6,31,19,210,39,241,91
Dolphins,19.8,317,353,600,58.8,3974,6.6,11.3,18,10,215,42,242,82
Giants,21.5,344,341,534,63.9,4068,7.6,11.9,26,21,196,33,231,87
Patriots,20.7,331,369,594,62.1,4342,7.3,11.8,27,20,207,37,213,85
Redskins,24.2,388,393,636,61.8,4511,7.1,11.5,31,21,223,32,209,86
Saints,28.4,454,370,602,61.5,4681,7.8,12.7,31,15,236,30,194,92
Buccaneers,24.6,394,410,627,65.4,4758,7.6,11.6,30,18,226,27,193,92
