TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Steelers,19.6,314,299,2963,5.7,19,169
Jets,23.4,375,266,3036,6.1,20,161
Broncos,18.1,289,321,3194,5.7,25,183
49ers,17.1,273,337,3203,5.6,19,178
Cardinals,22.3,357,270,3213,6.5,20,160
Seahawks,15.3,245,327,3250,5.8,15,186
Bengals,20,320,346,3400,6.1,16,183
Bears,17.3,277,350,3423,5.8,19,186
Eagles,27.8,444,292,3470,7.2,33,178
Bills,27.2,435,306,3473,6.5,25,182
Packers,21,336,313,3492,6.1,24,191
Chiefs,26.6,425,279,3533,7.6,29,176
Panthers,22.7,363,371,3568,6.4,22,195
Lions,27.3,437,346,3569,6.6,26,167
Rams,21.8,348,362,3602,6.6,16,197
Texans,20.7,331,308,3612,6.2,29,167
Ravens,21.5,344,335,3650,6.6,15,187
Chargers,21.9,350,347,3681,6.5,28,201
Cowboys,25,400,320,3684,7.2,22,195
Raiders,27.7,443,347,3775,7.2,28,180
Colts,24.2,387,334,3788,7.1,23,190
Jaguars,27.8,444,341,3832,7.2,21,194
Falcons,18.7,299,337,3878,7,14,189
Vikings,21.8,348,391,3908,6.4,28,229
Browns,23,368,378,3923,6.5,27,203
Titans,29.4,471,374,3964,7,31,210
Dolphins,19.8,317,353,3974,6.6,18,215
Giants,21.5,344,341,4068,7.6,26,196
Patriots,20.7,331,369,4342,7.3,27,207
Redskins,24.2,388,393,4511,7.1,31,223
Saints,28.4,454,370,4681,7.8,31,236
Buccaneers,24.6,394,410,4758,7.6,30,226
