TeamName,OpponentPointsPerGame,OpponentScore,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession
Lions,17.6,282,350,1109,3.2,8,59,28:19
Broncos,22.1,354,349,1276,3.7,9,60,30:36
Seahawks,15.9,254,381,1304,3.4,8,70,28:59
Ravens,18.9,302,389,1408,3.6,8,75,30:20
Jets,25.1,401,393,1489,3.8,11,74,29:16
Steelers,23,368,368,1597,4.3,9,88,28:36
49ers,21.2,340,402,1612,4,7,83,29:11
Cowboys,22,352,392,1647,4.2,18,86,28:02
Patriots,19.6,313,419,1669,4,6,88,30:23
Texans,19.2,307,421,1674,4,6,89,29:21
Bills,18.1,289,416,1705,4.1,10,89,31:35
Redskins,27.4,438,421,1722,4.1,11,77,30:39
Cardinals,18.7,299,398,1739,4.4,9,77,30:12
Rams,22.1,354,423,1766,4.2,12,83,31:47
Eagles,25,400,474,1771,3.7,14,88,33:20
Panthers,23.4,374,397,1792,4.5,14,91,29:40
Bears,27.6,442,422,1804,4.3,12,78,30:06
Buccaneers,25.6,410,469,1813,3.9,15,103,33:05
Colts,23.1,369,424,1814,4.3,14,103,28:06
Bengals,21.5,344,439,1858,4.2,16,105,30:25
Falcons,26.1,417,450,1894,4.2,21,108,31:39
Raiders,28.2,452,481,1911,4,17,95,32:40
Packers,21.8,348,449,1918,4.3,11,116,29:28
Dolphins,23.3,373,453,1937,4.3,13,99,30:52
Vikings,21.4,343,450,1943,4.3,10,100,31:26
Chargers,21.8,348,438,1986,4.5,11,98,29:20
Jaguars,25.8,412,499,2033,4.1,15,107,33:49
Chiefs,17.6,281,433,2036,4.7,4,108,30:00
Saints,26.5,424,443,2125,4.8,17,111,30:29
Giants,25,400,438,2162,4.9,15,112,29:16
Titans,27.4,438,515,2194,4.3,17,119,32:29
Browns,21.1,337,500,2260,4.5,13,126,32:47
