TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Saints,25.1,401,1095,6582,6,395,98,203,48.3,39,65,60,80,670,31:35,-13
Steelers,27.2,436,1068,6564,6.1,379,93,208,44.7,29,55,52.7,103,834,32:24,0
Colts,28.6,458,1105,6496,5.9,370,89,217,41,33,60,55,105,848,32:54,-5
Broncos,30.1,482,1067,6446,6,360,94,213,44.1,39,62,62.9,120,1045,31:46,5
Eagles,29.6,474,1131,6348,5.6,356,103,237,43.5,29,59,49.2,115,995,27:40,-8
Packers,30.4,486,1001,6178,6.2,356,93,197,47.2,37,64,57.8,92,776,31:32,14
Cowboys,29.2,467,1015,6138,6,342,95,201,47.3,33,51,64.7,105,839,33:51,6
Falcons,23.8,381,1035,6051,5.8,330,93,210,44.3,27,44,61.4,97,840,29:28,5
Seahawks,24.6,394,1021,6012,5.9,328,90,212,42.5,31,60,51.7,130,1009,32:22,10
Giants,23.8,380,1086,5875,5.4,336,101,235,43,36,61,59,101,896,31:44,-2
Patriots,29.2,468,1074,5848,5.4,361,98,221,44.3,39,67,58.2,120,1080,30:37,12
Ravens,25.6,409,1022,5835,5.7,345,84,205,41,33,63,52.4,111,870,30:40,2
Redskins,18.8,301,1006,5738,5.7,318,62,197,31.5,23,48,47.9,120,1129,31:47,-12
Dolphins,24.2,388,1040,5601,5.4,361,80,200,40,35,68,51.5,81,635,30:08,2
Bengals,22.8,365,1019,5568,5.5,313,84,211,39.8,28,49,57.1,102,812,31:32,0
Panthers,21.2,339,1062,5546,5.2,347,93,222,41.9,22,47,46.8,83,756,32:16,3
Texans,23.2,372,1062,5508,5.2,313,91,235,38.7,26,48,54.2,94,834,31:07,12
Chargers,21.8,348,1009,5468,5.4,326,97,215,45.1,26,48,54.2,111,967,31:58,-5
Lions,20.1,321,1045,5442,5.2,310,86,223,38.6,25,47,53.2,118,989,32:41,7
49ers,19.1,306,1010,5238,5.2,303,86,214,40.2,19,44,43.2,116,939,32:44,7
Bears,19.9,319,1005,5233,5.2,322,78,207,37.7,30,47,63.8,113,998,30:13,-5
Jets,17.7,283,1052,5225,5,289,91,234,38.9,17,47,36.2,109,932,31:01,-11
Browns,18.7,299,1010,5193,5.1,294,61,207,29.5,24,49,49,116,932,28:13,6
Cardinals,19.4,310,993,5116,5.2,302,90,224,40.2,16,38,42.1,91,707,30:48,8
Chiefs,22.1,353,962,5100,5.3,309,80,201,39.8,28,48,58.3,88,681,30:00,-3
Bills,21.4,343,1020,5096,5,273,84,229,36.7,22,51,43.1,124,1022,30:45,7
Vikings,20.3,325,980,5039,5.1,288,82,210,39,21,39,53.8,100,836,29:52,-1
Rams,20.2,324,957,5035,5.3,288,68,192,35.4,22,44,50,123,1139,29:13,-2
Titans,15.9,254,919,4859,5.3,258,59,196,30.1,19,39,48.7,111,961,28:31,-10
Buccaneers,17.3,277,937,4672,5,263,76,203,37.4,21,39,53.8,118,939,27:17,-8
Jaguars,15.6,249,989,4633,4.7,271,69,216,31.9,13,32,40.6,73,573,27:11,-6
Raiders,15.8,253,994,4515,4.5,248,80,236,33.9,21,29,72.4,116,939,28:20,-15
