TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Broncos,18.5,1337,3.3,75,18.4,52,8.3,121,19.4
Patriots,19.7,1580,4,59,14.9,49,7.6,84,13
Steelers,19.9,1459,3.8,74,19.4,48,7.1,95,14.1
Chiefs,17.9,1571,4.1,74,19.3,47,7.2,86,13.1
Texans,19.6,1597,4.1,80,20.6,45,7.5,106,17.7
Panthers,19.2,1415,3.9,77,21.2,44,6.3,106,15.3
Lions,25,1808,4.2,83,19.4,43,7.5,104,18.2
Packers,20.2,1905,4.5,85,20.2,43,7.2,94,15.8
Vikings,18.9,1748,4.3,76,18.5,43,7.1,111,18.4
Bengals,17.4,1477,4.3,68,19.8,42,6.1,109,15.8
Rams,20.6,1820,4,98,21.6,41,6.4,113,17.7
Titans,26.4,1797,3.9,63,13.6,39,7.2,71,13.1
Jets,19.6,1335,3.6,58,15.5,39,6.1,116,18.1
Raiders,24.9,1678,4.1,77,19,38,5.6,77,11.3
Buccaneers,26.1,1606,3.4,73,15.7,38,6.6,84,14.5
Redskins,23.7,1962,4.8,59,14.5,38,6.3,77,12.7
Eagles,26.9,2153,4.5,76,15.9,37,5.5,81,12.1
Ravens,25.1,1661,4,73,17.5,37,6.4,94,16.2
Seahawks,17.3,1304,3.6,65,18,37,6.3,102,17.4
Cardinals,19.6,1460,3.9,81,21.7,36,5.9,104,17.1
Jaguars,28,1709,3.7,78,16.8,36,5.6,76,11.9
Colts,25.5,1952,4.3,73,16.2,35,5.6,85,13.7
Bears,24.8,1934,4.5,56,12.9,35,6.4,92,16.8
Chargers,24.9,2005,4.8,69,16.5,32,5.9,75,13.8
Cowboys,23.4,1934,4.2,75,16.3,31,5.8,72,13.4
Dolphins,24.3,2019,4,80,15.9,31,5.4,76,13.3
Saints,29.8,2071,4.9,56,13.3,31,5.4,65,11.3
Browns,27,2055,4.5,54,11.8,29,5.4,71,13.1
49ers,24.2,2020,4,63,12.5,28,4.9,77,13.3
Giants,27.6,1942,4.4,45,10.1,23,3.5,83,12.6
Bills,22.4,1730,4.4,43,10.9,21,3.4,73,11.7
Falcons,21.6,1680,4,45,10.8,19,3.3,71,12.2
