TeamName,PointsPerGame,Score,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FirstDownsByRushing,TimeOfPossession
Jaguars,26.1,417,527,2262,4.3,18,101,32:19
Cowboys,22.1,354,480,2170,4.5,18,127,30:12
Eagles,28.6,457,473,2115,4.5,10,108,33:41
Panthers,22.7,363,490,2102,4.3,15,121,32:17
Saints,28,448,444,2070,4.7,23,111,31:09
Bills,18.9,302,487,2017,4.1,12,105,28:20
Vikings,23.9,382,501,1957,3.9,15,100,32:26
Rams,29.9,478,454,1953,4.3,17,97,30:06
Chiefs,25.9,415,405,1903,4.7,12,95,31:55
Patriots,28.6,458,448,1889,4.2,16,107,31:37
Ravens,24.7,395,460,1856,4,14,111,31:53
Broncos,18.1,289,456,1854,4.1,8,92,31:28
Falcons,22.1,353,430,1847,4.3,13,101,30:50
Texans,21.1,338,448,1842,4.1,8,86,30:06
Titans,20.9,334,443,1833,4.1,18,97,30:06
Bears,16.5,264,422,1788,4.2,13,93,29:58
Packers,20,320,386,1724,4.5,13,99,29:09
Browns,14.6,234,384,1714,4.5,11,97,28:12
Jets,18.6,298,427,1702,4,13,77,30:13
Steelers,25.4,406,437,1667,3.8,12,96,32:59
49ers,20.7,331,408,1664,4.1,15,88,29:16
Colts,16.4,263,451,1661,3.7,11,94,30:41
Seahawks,22.9,366,409,1629,4,4,85,29:19
Chargers,22.2,355,419,1595,3.8,11,84,30:21
Raiders,18.8,301,370,1554,4.2,13,78,29:53
Giants,15.4,246,394,1549,3.9,6,66,29:42
Buccaneers,20.9,335,389,1450,3.7,8,76,30:43
Redskins,21.4,342,401,1448,3.6,10,66,30:45
Dolphins,17.6,281,360,1388,3.9,4,66,29:25
Cardinals,18.4,295,409,1386,3.4,6,66,31:10
Bengals,18.1,290,377,1366,3.6,6,72,27:18
Lions,25.6,410,363,1221,3.4,10,58,30:48
