TeamName,PointsPerGame,Score,PassingCompletions,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,FirstDownsByPassing
Chargers,22.2,355,366,4431,7.6,28,220
Patriots,28.6,458,389,4418,7.5,32,232
Steelers,25.4,406,384,4380,7.4,29,217
Buccaneers,20.9,335,378,4366,7.2,26,243
Saints,28,448,386,4189,7.8,23,201
Lions,25.6,410,374,4183,7.3,29,210
Chiefs,25.9,415,363,4104,7.6,26,198
Falcons,22.1,353,343,3990,7.5,21,200
49ers,20.7,331,362,3925,6.5,15,206
Rams,29.9,478,320,3831,7.4,28,185
Vikings,23.9,382,357,3753,7.1,25,196
Redskins,21.4,342,347,3751,6.9,27,191
Eagles,28.6,457,341,3737,6.6,38,193
Seahawks,22.9,366,340,3657,6.6,34,183
Cardinals,18.4,295,339,3640,6.1,21,200
Raiders,18.8,301,347,3631,6.5,23,178
Jaguars,26.1,417,316,3593,6.8,21,193
Dolphins,17.6,281,373,3535,5.9,24,187
Giants,15.4,246,373,3479,5.7,20,178
Broncos,18.1,289,332,3331,5.9,19,180
Texans,21.1,338,299,3278,6.2,28,180
Browns,14.6,234,312,3228,5.6,15,157
Titans,20.9,334,306,3191,6.4,14,157
Jets,18.6,298,323,3182,6.2,19,157
Packers,20,320,352,3167,5.6,25,176
Cowboys,22.1,354,309,3141,6.4,22,162
Bengals,18.1,290,304,3122,6.1,25,165
Panthers,22.7,363,293,3077,6.1,22,167
Ravens,24.7,395,363,3030,5.3,20,168
Colts,16.4,263,285,2892,5.9,13,148
Bills,18.9,302,289,2825,5.9,16,149
Bears,16.5,264,291,2811,5.9,13,144
